product_id,sku,name,description,category,subcategory,brand,price,currency,discount_percent,stock_quantity,rating,review_count,attributes,image_url,product_url,is_active
P0001,BOS-0001,Bose Air Wireless Headphones,"Bose wireless headphones with Bluetooth connectivity, immersive sound and long battery life.",Electronics,Headphones,Bose,17570,EGP,20,55,4.8,467,"{""color"": ""Red"", ""wireless"": ""Bluetooth"", ""noise_cancelling"": false, ""battery"": ""60 hours""}",https://example.com/images/p0001.jpg,https://example.com/products/p0001,True
P0002,CER-0002,CeraVe Hydrating Facial Cleanser,CeraVe facial cleanser designed for gentle daily skincare and suitable for combination skin.,Beauty,Skincare,CeraVe,2760,EGP,0,7,4.1,210,"{""color"": ""Gray"", ""volume"": ""236ml"", ""skin_type"": ""combination"", ""fragrance_free"": true}",https://example.com/images/p0002.jpg,https://example.com/products/p0002,True
P0003,DOV-0003,Dove Volume Shampoo,Dove shampoo formulated for regular hair care and suitable for dry hair.,Beauty,Haircare,Dove,930,EGP,10,47,4.4,166,"{""color"": ""Beige"", ""volume"": ""500ml"", ""hair_type"": ""dry""}",https://example.com/images/p0003.jpg,https://example.com/products/p0003,True
P0004,MOU-0004,Moulinex Blender,Moulinex Blender designed for reliable everyday household use.,Home,Kitchen,Moulinex,3010,EGP,20,45,4.6,642,"{""color"": ""Black"", ""capacity"": ""6L"", ""power"": ""1400W""}",https://example.com/images/p0004.jpg,https://example.com/products/p0004,True
P0005,LA-0005,La Roche-Posay Purifying Facial Cleanser,La Roche-Posay facial cleanser designed for gentle daily skincare and suitable for combination skin.,Beauty,Skincare,La Roche-Posay,2650,EGP,15,31,4.8,881,"{""color"": ""Red"", ""volume"": ""400ml"", ""skin_type"": ""combination"", ""fragrance_free"": false}",https://example.com/images/p0005.jpg,https://example.com/products/p0005,True
P0006,REV-0006,Revlon Matte Makeup,Revlon makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Revlon,2300,EGP,15,51,3.8,469,"{""color"": ""White"", ""finish"": ""Glow""}",https://example.com/images/p0006.jpg,https://example.com/products/p0006,True
P0007,UGR-0007,UGREEN Wireless Charger,UGREEN Wireless Charger designed for reliable everyday use with compatible devices.,Electronics,Accessories,UGREEN,4100,EGP,5,30,4.8,259,"{""color"": ""Beige"", ""type"": ""Wireless Charger"", ""compatibility"": ""Universal""}",https://example.com/images/p0007.jpg,https://example.com/products/p0007,True
P0008,MOU-0008,Moulinex Hair Dryer,Moulinex Hair Dryer designed for reliable everyday household use.,Home,Appliances,Moulinex,10580,EGP,15,51,4.5,990,"{""color"": ""Gray"", ""capacity"": ""4L"", ""power"": ""1200W""}",https://example.com/images/p0008.jpg,https://example.com/products/p0008,True
P0009,IKE-0009,IKEA Classic Table,"IKEA minimalist table designed for practical use in bedrooms, offices or living rooms.",Home,Furniture,IKEA,3160,EGP,20,56,4.5,948,"{""color"": ""Red"", ""material"": ""MDF""}",https://example.com/images/p0009.jpg,https://example.com/products/p0009,True
P0010,ADI-0010,Adidas Red Jacket,Adidas casual jacket designed for comfortable everyday outdoor wear.,Fashion,Jackets,Adidas,4620,EGP,15,49,4.7,899,"{""color"": ""Red"", ""sizes"": ""S-XXL"", ""material"": ""Polyester""}",https://example.com/images/p0010.jpg,https://example.com/products/p0010,True
P0011,TEF-0011,Tefal Toaster,Tefal Toaster designed for reliable everyday household use.,Home,Kitchen,Tefal,7880,EGP,20,45,4.7,1065,"{""color"": ""Blue"", ""capacity"": ""4L"", ""power"": ""1400W""}",https://example.com/images/p0011.jpg,https://example.com/products/p0011,True
P0012,NEU-0012,Neutrogena Daily Facial Cleanser,Neutrogena facial cleanser designed for gentle daily skincare and suitable for normal skin.,Beauty,Skincare,Neutrogena,2290,EGP,10,6,4.0,852,"{""color"": ""White"", ""volume"": ""100ml"", ""skin_type"": ""normal"", ""fragrance_free"": true}",https://example.com/images/p0012.jpg,https://example.com/products/p0012,True
P0013,ESS-0013,Essence Matte Makeup,Essence makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Essence,540,EGP,15,50,4.0,257,"{""color"": ""Red"", ""finish"": ""Glow""}",https://example.com/images/p0013.jpg,https://example.com/products/p0013,True
P0014,BLA-0014,Black+Decker Iron,Black+Decker Iron designed for reliable everyday household use.,Home,Appliances,Black+Decker,5570,EGP,0,20,4.5,1186,"{""color"": ""Gray"", ""capacity"": ""10L"", ""power"": ""1000W""}",https://example.com/images/p0014.jpg,https://example.com/products/p0014,True
P0015,L'O-0015,L'Oreal Glow Makeup,L'Oreal makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,L'Oreal,2650,EGP,20,32,4.1,865,"{""color"": ""Beige"", ""finish"": ""Matte""}",https://example.com/images/p0015.jpg,https://example.com/products/p0015,True
P0016,MOU-0016,Moulinex Vacuum,Moulinex Vacuum designed for reliable everyday household use.,Home,Appliances,Moulinex,13290,EGP,5,33,4.7,780,"{""color"": ""Black"", ""capacity"": ""1.5L"", ""power"": ""800W""}",https://example.com/images/p0016.jpg,https://example.com/products/p0016,True
P0017,APP-0017,Apple WH Wireless Headphones,"Apple wireless headphones with Bluetooth connectivity, immersive sound and long battery life.",Electronics,Headphones,Apple,1640,EGP,0,32,4.3,631,"{""color"": ""Gray"", ""wireless"": ""Bluetooth"", ""noise_cancelling"": true, ""battery"": ""60 hours""}",https://example.com/images/p0017.jpg,https://example.com/products/p0017,True
P0018,ESS-0018,Essence Lash Makeup,Essence makeup product designed for an easy everyday beauty routine.,Beauty,Makeup,Essence,900,EGP,5,37,4.4,898,"{""color"": ""Red"", ""finish"": ""Natural""}",https://example.com/images/p0018.jpg,https://example.com/products/p0018,True
P0019,NEW-0019,New Balance Flex Sneakers,New Balance sneakers with comfortable cushioning and a breathable design for everyday use.,Fashion,Shoes,New Balance,7440,EGP,0,12,4.5,365,"{""color"": ""Black"", ""size_range"": ""39-44"", ""material"": ""Leather""}",https://example.com/images/p0019.jpg,https://example.com/products/p0019,True
P0020,LEV-0020,Levi's Regular Jeans,Levi's Regular jeans made for everyday casual outfits.,Fashion,Jeans,Levi's,1230,EGP,20,33,4.0,1068,"{""color"": ""White"", ""sizes"": ""30-40"", ""fit"": ""Regular"", ""material"": ""Denim""}",https://example.com/images/p0020.jpg,https://example.com/products/p0020,True
P0021,OGX-0021,OGX Volume Shampoo,OGX shampoo formulated for regular hair care and suitable for oily hair.,Beauty,Haircare,OGX,1290,EGP,10,55,3.9,634,"{""color"": ""White"", ""volume"": ""400ml"", ""hair_type"": ""oily""}",https://example.com/images/p0021.jpg,https://example.com/products/p0021,True
P0022,OGX-0022,OGX Repair Shampoo,OGX shampoo formulated for regular hair care and suitable for normal hair.,Beauty,Haircare,OGX,790,EGP,10,11,4.2,997,"{""color"": ""Gray"", ""volume"": ""500ml"", ""hair_type"": ""normal""}",https://example.com/images/p0022.jpg,https://example.com/products/p0022,True
P0023,IKE-0023,IKEA Compact Table,"IKEA minimalist table designed for practical use in bedrooms, offices or living rooms.",Home,Furniture,IKEA,4490,EGP,0,5,4.8,686,"{""color"": ""Gray"", ""material"": ""Metal""}",https://example.com/images/p0023.jpg,https://example.com/products/p0023,True
P0024,PUM-0024,Puma Runner Sneakers,Puma sneakers with comfortable cushioning and a breathable design for everyday use.,Fashion,Shoes,Puma,3470,EGP,10,35,4.6,1112,"{""color"": ""White"", ""size_range"": ""41-46"", ""material"": ""Textile""}",https://example.com/images/p0024.jpg,https://example.com/products/p0024,True
P0025,BRA-0025,Braun Vacuum,Braun Vacuum designed for reliable everyday household use.,Home,Appliances,Braun,7530,EGP,15,18,4.4,1148,"{""color"": ""White"", ""capacity"": ""6L"", ""power"": ""800W""}",https://example.com/images/p0025.jpg,https://example.com/products/p0025,True
P0026,CER-0026,CeraVe Gentle Facial Cleanser,CeraVe facial cleanser designed for gentle daily skincare and suitable for oily skin.,Beauty,Skincare,CeraVe,500,EGP,10,46,4.7,227,"{""color"": ""Red"", ""volume"": ""100ml"", ""skin_type"": ""oily"", ""fragrance_free"": false}",https://example.com/images/p0026.jpg,https://example.com/products/p0026,True
P0027,HOM-0027,Home Centre LACK Table,"Home Centre minimalist table designed for practical use in bedrooms, offices or living rooms.",Home,Furniture,Home Centre,4900,EGP,0,0,4.3,536,"{""color"": ""Gray"", ""material"": ""Wood""}",https://example.com/images/p0027.jpg,https://example.com/products/p0027,False
P0028,APP-0028,Apple IdeaPad Laptop,"Apple IdeaPad laptop with 16GB RAM, 1TB SSD and a Apple M2 processor.",Electronics,Laptops,Apple,58620,EGP,0,6,4.6,1190,"{""color"": ""Blue"", ""ram"": ""16GB"", ""storage"": ""1TB"", ""processor"": ""Apple M2""}",https://example.com/images/p0028.jpg,https://example.com/products/p0028,True
P0029,TCL-0029,TCL 75-inch 4K Smart TV,"TCL smart TV with a 75-inch 4K display, HDR support and streaming applications.",Electronics,TVs,TCL,35260,EGP,15,29,4.3,254,"{""color"": ""Beige"", ""screen"": ""75 inch"", ""resolution"": ""4K"", ""smart"": true, ""hdr"": true}",https://example.com/images/p0029.jpg,https://example.com/products/p0029,True
P0030,BLA-0030,Black+Decker Blender,Black+Decker Blender designed for reliable everyday household use.,Home,Kitchen,Black+Decker,14080,EGP,10,3,4.6,904,"{""color"": ""Black"", ""capacity"": ""6L"", ""power"": ""1200W""}",https://example.com/images/p0030.jpg,https://example.com/products/p0030,True
P0031,ANK-0031,Anker Air Wireless Headphones,"Anker wireless headphones with Bluetooth connectivity, immersive sound and long battery life.",Electronics,Headphones,Anker,11250,EGP,15,57,3.8,711,"{""color"": ""White"", ""wireless"": ""Bluetooth"", ""noise_cancelling"": true, ""battery"": ""20 hours""}",https://example.com/images/p0031.jpg,https://example.com/products/p0031,True
P0032,NIK-0032,Nike Court Sneakers,Nike sneakers with comfortable cushioning and a breathable design for everyday use.,Fashion,Shoes,Nike,1510,EGP,5,33,4.2,628,"{""color"": ""Black"", ""size_range"": ""41-46"", ""material"": ""Mesh""}",https://example.com/images/p0032.jpg,https://example.com/products/p0032,True
